Date;Close-TSLA
2022-03-14 00.00.00;301,7966614
2022-03-21 00.00.00;336,8800049
2022-03-28 00.00.00;361,5299988
2022-04-04 00.00.00;341,8299866
2022-04-11 00.00.00;328,3333435
2022-04-18 00.00.00;335,0166626
2022-04-25 00.00.00;290,2533264
2022-05-02 00.00.00;288,5499878
2022-05-09 00.00.00;256,5299988
2022-05-16 00.00.00;221,3000031
2022-05-23 00.00.00;253,2100067
2022-05-30 00.00.00;234,5166626
2022-06-06 00.00.00;232,2299957
2022-06-13 00.00.00;216,7599945
2022-06-20 00.00.00;245,706665
2022-06-27 00.00.00;227,2633362
2022-07-04 00.00.00;250,7633362
2022-07-11 00.00.00;240,0666656
2022-07-18 00.00.00;272,2433472
2022-07-25 00.00.00;297,1499939
2022-08-01 00.00.00;288,1700134
2022-08-08 00.00.00;300,0299988
2022-08-15 00.00.00;296,6666565
2022-08-22 00.00.00;288,0899963
2022-08-29 00.00.00;270,2099915
2022-09-05 00.00.00;299,6799927
2022-09-12 00.00.00;303,3500061
2022-09-19 00.00.00;275,3299866
2022-09-26 00.00.00;265,25
2022-10-03 00.00.00;223,0700073
2022-10-10 00.00.00;204,9900055
2022-10-17 00.00.00;214,4400024
2022-10-24 00.00.00;228,5200043
2022-10-31 00.00.00;207,4700012
2022-11-07 00.00.00;195,9700012
2022-11-14 00.00.00;180,1900024
2022-11-21 00.00.00;182,8600006
2022-11-28 00.00.00;194,8600006
2022-12-05 00.00.00;179,0500031
2022-12-12 00.00.00;150,2299957
2022-12-19 00.00.00;123,1500015
2022-12-26 00.00.00;123,1800003
2023-01-02 00.00.00;113,0599976
2023-01-09 00.00.00;122,4000015
2023-01-16 00.00.00;133,4199982
2023-01-23 00.00.00;177,8999939
2023-01-30 00.00.00;189,9799957
2023-02-06 00.00.00;196,8899994
2023-02-13 00.00.00;208,3099976
2023-02-20 00.00.00;196,8800049
2023-02-27 00.00.00;197,7899933
2023-03-06 00.00.00;173,4400024
2023-03-13 00.00.00;180,1300049
2023-03-20 00.00.00;190,4100037
2023-03-27 00.00.00;207,4600067
2023-04-03 00.00.00;185,0599976
2023-04-10 00.00.00;185
2023-04-17 00.00.00;165,0800018
2023-04-24 00.00.00;164,3099976
2023-05-01 00.00.00;170,0599976
2023-05-08 00.00.00;167,9799957
2023-05-15 00.00.00;180,1399994
2023-05-22 00.00.00;193,1699982
2023-05-29 00.00.00;213,9700012
2023-06-05 00.00.00;244,3999939
2023-06-12 00.00.00;260,5400085
2023-06-19 00.00.00;256,6000061
2023-06-26 00.00.00;261,769989
2023-07-03 00.00.00;274,4299927
2023-07-10 00.00.00;281,3800049
2023-07-17 00.00.00;260,019989
2023-07-24 00.00.00;266,4400024
2023-07-31 00.00.00;253,8600006
2023-08-07 00.00.00;242,6499939
2023-08-14 00.00.00;215,4900055
2023-08-21 00.00.00;238,5899963
2023-08-28 00.00.00;245,0099945
2023-09-04 00.00.00;248,5
2023-09-11 00.00.00;274,3900146
2023-09-18 00.00.00;244,8800049
2023-09-25 00.00.00;250,2200012
2023-10-02 00.00.00;260,5299988
2023-10-09 00.00.00;251,1199951
2023-10-16 00.00.00;211,9900055
2023-10-23 00.00.00;207,3000031
2023-10-30 00.00.00;219,9600067
2023-11-06 00.00.00;214,6499939
2023-11-13 00.00.00;234,3000031
2023-11-20 00.00.00;235,4499969
2023-11-27 00.00.00;238,8300018
2023-12-04 00.00.00;243,8399963
2023-12-11 00.00.00;253,5
2023-12-18 00.00.00;252,5399933
2023-12-25 00.00.00;248,4799957
2024-01-01 00.00.00;237,4900055
2024-01-08 00.00.00;218,8899994
2024-01-15 00.00.00;212,1900024
2024-01-22 00.00.00;183,25
2024-01-29 00.00.00;187,9100037
2024-02-05 00.00.00;193,5700073
2024-02-12 00.00.00;199,9499969
2024-02-19 00.00.00;191,9700012
2024-02-26 00.00.00;202,6399994
2024-03-04 00.00.00;175,3399963
2024-03-11 00.00.00;163,5700073
2024-03-18 00.00.00;170,8300018
2024-03-25 00.00.00;175,7899933
2024-04-01 00.00.00;164,8999939
2024-04-08 00.00.00;171,0500031
2024-04-15 00.00.00;147,0500031
2024-04-22 00.00.00;168,2899933
2024-04-29 00.00.00;181,1900024
2024-05-06 00.00.00;168,4700012
2024-05-13 00.00.00;177,4600067
2024-05-20 00.00.00;179,2400055
2024-05-27 00.00.00;178,0800018
2024-06-03 00.00.00;177,4799957
2024-06-10 00.00.00;178,0099945
2024-06-17 00.00.00;183,0099945
2024-06-24 00.00.00;197,8800049
2024-07-01 00.00.00;251,5200043
2024-07-08 00.00.00;248,2299957
2024-07-15 00.00.00;239,1999969
2024-07-22 00.00.00;219,8000031
2024-07-29 00.00.00;207,6699982
