Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
2013-10-21 00.00.00;11,31066704;12,22599983;10,67666721;12,21866703;819906000
2013-10-28 00.00.00;10,8113327;11,36666679;10,19999981;11,3453331;703044000
2013-11-04 00.00.00;9,196666718;12,0953331;8,821332932;11;1671327000
2013-11-11 00.00.00;9,029999733;9,694666862;8,940667152;9,399999619;956175000
2013-11-18 00.00.00;8,092000008;9,029999733;7,861999989;9,017999649;1197067500
2013-11-25 00.00.00;8,485333443;8,706000328;7,739999771;8,300000191;693549000
2013-12-02 00.00.00;9,157333374;9,662667274;8,262000084;8,423333168;956689500
2013-12-09 00.00.00;9,843333244;10,11999989;8,947333336;9,133333206;724608000
2013-12-16 00.00.00;9,549332619;10,32666683;9,273332596;9,898667336;733572000
2013-12-23 00.00.00;10,07466698;10,53333282;9,506667137;9,656666756;418750500
2013-12-30 00.00.00;9,970666885;10,32066727;9,770000458;10,07466698;294199500
2014-01-06 00.00.00;9,71466732;10,24666691;9,483332634;10;440797500
2014-01-13 00.00.00;11,33399963;11,5466671;9,111332893;9,71866703;1133314500
2014-01-20 00.00.00;11,64000034;12,15866661;11,38733292;11,41600037;484335000
2014-01-27 00.00.00;12,09399986;12,39999962;10,98066711;11,67733288;537286500
2014-02-03 00.00.00;12,43533325;12,44200039;11,29066658;12,19266701;502339500
2014-02-10 00.00.00;13,21533298;13,51466656;12,62133312;12,62266731;645624000
2014-02-17 00.00.00;13,97333336;14,34733295;12,89400005;13,68266678;769843500
2014-02-24 00.00.00;16,32066727;17,66666794;13,88799953;13,91733265;1471504500
2014-03-03 00.00.00;16,41399956;17,33333206;15,66600037;15,81733322;644160000
2014-03-10 00.00.00;15,39799976;16,5;15,22133255;16,18000031;612279000
2014-03-17 00.00.00;15,25933266;16,10333252;15,16666698;15,66333294;438915000
2014-03-24 00.00.00;14,15799999;15,32666683;13,53333282;15,3166666;679230000
2014-03-31 00.00.00;14,14866734;15,71533298;13,75933266;14,4333334;732045000
2014-04-07 00.00.00;13,58533287;14,56333256;13,23999977;13,72066689;572721000
2014-04-14 00.00.00;13,20800018;13,89599991;12,28800011;13,84000015;517369500
2014-04-21 00.00.00;13,32333279;14,62199974;12,9333334;13,13866711;522756000
2014-04-28 00.00.00;14,06066704;14,26799965;12,69999981;13,33333302;401826000
2014-05-05 00.00.00;12,15066719;14,57733345;11,81466675;13,96533298;742722000
2014-05-12 00.00.00;12,77066708;12,89866734;11,99199963;12,25800037;450514500
2014-05-19 00.00.00;13,81999969;13,850667;12,66666698;12,71466732;384367500
2014-05-26 00.00.00;13,85133266;14,31999969;13,68400002;13,90133286;301647000
2014-06-02 00.00.00;13,87800026;14,0539999;13,35999966;13,82199955;286270500
